Marca,2021,2022,2023,Promedio,MVP,Problemas por Vehiculo,Satisfaccion[1-10]
Toyota,"9,562483","9,566961","10,307395","9,81227967",4,"1,32","8,4"
Honda,"4,456728","4,074372","4,188039","4,239713",1,"1,57","8,2"
Mazda,"1,25","1,1","1,07","1,14",1,"1,62","8,3"
